,Brand,Details,Price
0,GIANT,Jasmine Fragrant Rice 10kg,$14.30
1,NEW MOON,Fragrant Brown Rice 2kg,$6.90
2,HOUSE BRAND,Basmati Rice 5kg,$19.05
3,SAN REMO,Cous Cous 500g,$3.80
4,ROYAL UMBRELLA,Thai Hom Mali Fragrant Rice 5kg,$16.20
5,SONGHE,Thai Fragrant Rice 10kg,$32.80
6,GIANT,Long Grain White Rice 5kg,$5.90
7,HOUSE BRAND,White Ponni Rice 5kg,$7.50
8,GOLDEN PINEAPPLE,Thai Fragrant Rice 10kg,$25.90
9,SONGHE,Thai Fragrant Rice 5kg,$16.90
10,NATUREL,Organic Brown Rice 750g,$5.40
11,GOLDEN PHOENIX,Hom Mali Rice 10kg,$27.00
12,NEW MOON,Jasmine Fragrant Rice 5kg,$8.95
13,GOLDEN KNIFE,Jasmine Fragrant Rice 5kg,$8.50
14,DOUBLE F. K,Thai Fragrant Rice 10kg,$26.65
15,ROYAL UMBRELLA,New Crop Thai Hom Mali Fragrant Rice 5kg,$17.80
16,JIN HUANG, Thai Fragrant Rice 5kg ,$12.85
17,GOLDEN PEONY,Thai Hom Mali Rice 5kg,$12.80
18,KANGAROO,Australian Calrose White Rice 5kg,$13.95
19,NEW MOON,Prem Fragrant Rice 2.5kg,$8.20
20,NEW MOON,Premium Fragrant Rice 5kg,$16.50
21,DOUBLE F. K,Fragrant Rice 5kg,$13.95
22,GOLDEN EAGLE,Thai Fragrant Rice 1kg,$3.75
23,NEW MOON,Premium Fragrant Rice - New Crop 5kg,$15.95
24,NEW MOON,Premium Red Cargo Rice 2kg,$10.50
25,PADDYKING,Premium Red Cargo Rice 1kg,$5.00
26,GOLDEN EAGLE,Thai Fragrant White Rice 25kg,$64.00
27,GOLDEN PHOENIX,Thai Fragrant Rice 5kg,$13.80
28,GOLDEN PINEAPPLE,New Crop Rice 5kg,$14.25
29,NEW MOON,Premium Fragrant Rice 1kg,$3.70
30,GOLDEN PEONY,Thai Premium Brown Rice 1kg,$4.10
31,NATUREL,Organic Brown & Red Rice 2kg,$10.80
32,NEW MOON,Thai Jasmine Rice 10kg,$26.50
33,JIN HUANG,Fragrant Rice 10kg,$25.10
34,PADDYKING,Premium Mixed Jasmine Rice 2.5kg,$9.20
35,HARMUNI,Thai Fragrant Rice 5kg,$12.20
36,SONGHE,Thai Fragrant Rice 1kg,$4.30
37,GOLDEN PINEAPPLE,Thai Fragrant Rice 5kg,$13.20
38,TAJ,Basmati Rice 5kg,$21.00
39,ROYAL UMBRELLA,Thai Hom Mali Rice 2.5kg,$9.40
40,SONGHE,Noble Red Rice 2.5kg,$11.90
41,SONGHE,Noble Red Rice 5kg,$21.95
42,SONGHE,Thai Fragrant Rice 2.5kg,$9.20
43,NEW MOON,Organic Super Rice 1.8kg,$11.50
44,ECOBROWN'S,Original Unpolished Brown Rice 5kg,$14.50
45,FLYING MAN,Thai Fragrant Brown Rice 2.5kg,$11.75
46,NATUREL,Organic Brown Rice 2kg,$11.05
47,GOLDEN ROYAL JEWEL,Hommaili Rice 10kg,$24.95
48,GOLDEN ROYAL JEWEL,Hommaili Rice 5kg,$13.20
49,GOLDEN WHEEL,Thai Fragrant Rice 5kg,$9.95
50,KOALA,Japonica Calrose Rice 5kg,$11.75
51,SUPREME GOLD,1121 Basmati Rice 5kg,$17.90
52,CAP LAYANG LAYANG,Thai Fragrant Rice 7kg,$17.20
53,ECOBROWN'S,Gold Mixed Wholegrain Rice 2kg,$8.30
54,ECOBROWN'S,Gold Mixed Wholegrain Rice 5kg,$17.55
55,GIANT,Jasmine Fragrant Rice 5kg,$7.30
56,GIANT,Mixed Brown Rice 2.5kg,$7.45
57,GOLDEN PINEAPPLE,Glutinous Rice 2.5kg,$7.40
58,GOLDEN PINEAPPLE,Premium Basmati Rice 2.5Kg,$9.45
59,GOLDEN PINEAPPLE,Thai Fragrant Rice 2.5kg,$7.80
60,GOLDEN RICE BOX,Cambodia Jasmine Rice 5kg,$11.80
61,HOUSE BRAND,Basmati Rice 1kg,$4.55
62,INDIA GATE,Basmati Rice 1kg,$5.75
63,KANGAROO,Low GI Rice 2kg,$12.90
64,MALABAR,Basmati Rice 1kg,$3.30
65,NATUREL,Organic Brown Gaba & Riceberry Rice 1.80kg,$10.80
66,OKOME,Shortgrain Rice 4.5kg,$13.05
67,PADDYGREEN,Jasmine Fragrant Rice 5kg,$8.80
68,PADDYGREEN,Jasmine Rice 10kg,$16.50
69,PADDYKING,Brown Fragrant Jasmine Rice 1kg,$4.50
70,PADDYKING,Premium Calrose Rice 5kg,$13.95
71,PADDYKING,Thai Hom Mali Brown Jasmine Rice 2.5kg,$10.50
72,PADDYKING,Thai Riceberry 1kg,$5.95
73,ROYAL UMBRELLA,Thai Hom Mali Fragrant Rice 10kg,$31.80
74,SHOKAKU,Japanese Rice 2.5kg,$12.10
75,SONGHE,Glutinous Rice 5kg,$13.30
76,SONGHE,Mixed Fragrant Rice & Noble Red Rice 2kg,$8.50
77,SONGHE,Noble Mixed Brown Rice 1kg,$5.35
78,SONGHE,Noble Mixed Brown Rice 5kg,$20.95
